date,n_articles,mean_prob_up,confidence,up_vote_ratio,is_extreme_consensus,signal,skip_reason,true_label,return_rate,port_ret,cum_port,cum_bnh
2024-11-07,117,0.5106,0.5106,1.0,True,,conf<0.65,1,0.0234741784037558,0.0,1.0,1.0234741784037558
2024-11-11,167,0.6092,0.6092,1.0,True,,conf<0.65,0,-0.032258064516129,0.0,1.0,0.9904588823262153
2024-11-12,182,0.4823,0.5177,0.0,True,,conf<0.65,0,-0.0142857142857142,0.0,1.0,0.9763094697215551
2024-11-15,153,0.5632,0.5632,1.0,True,,conf<0.65,0,-0.0096618357487922,0.0,1.0,0.966876527985115
2024-11-18,105,0.4945,0.5055,0.0,True,,conf<0.65,1,0.0146341463414634,0.0,1.0,0.9810259405897752
2024-11-19,118,0.6216,0.6216,1.0,True,,conf<0.65,0,-0.0144230769230769,0.0,1.0,0.966876527985115
2024-11-20,120,0.6258,0.6258,1.0,True,,conf<0.65,0,-0.0146341463414634,0.0,1.0,0.9527271153804548
2024-11-21,112,0.6213,0.6213,1.0,True,,conf<0.65,1,0.0297029702970297,0.0,1.0,0.9810259405897753
2024-11-22,120,0.6257,0.6257,1.0,True,,conf<0.65,0,-0.0096153846153846,0.0,1.0,0.9715929988533352
2024-11-25,82,0.5984,0.5984,1.0,True,,conf<0.65,0,-0.0194174757281553,0.0,1.0,0.9527271153804548
2024-11-26,148,0.6205,0.6205,1.0,True,,conf<0.65,0,-0.0099009900990099,0.0,1.0,0.9432941736440147
2024-11-28,161,0.5668,0.5668,1.0,True,,conf<0.65,0,-0.008955223880597,0.0,1.0,0.9348467631337698
2024-11-29,120,0.5043,0.5043,1.0,True,,conf<0.65,1,0.0391566265060241,0.0,1.0,0.9714522086781644
2024-12-02,116,0.6165,0.6165,1.0,True,,conf<0.65,1,0.0193236714975845,0.0,1.0,0.990224232034264
2024-12-03,118,0.6226,0.6226,1.0,True,,conf<0.65,1,0.0142180094786729,0.0,1.0,1.0043032495513387
2024-12-05,115,0.4783,0.5217,0.0,True,,conf<0.65,0,-0.0093023255813953,0.0,1.0,0.9949608937415588
2024-12-06,116,0.4477,0.5523,0.0,True,,conf<0.65,1,0.0093896713615023,0.0,1.0,1.0043032495513387
2024-12-09,104,0.3964,0.6036,0.0,True,,conf<0.65,0,-0.0093023255813953,0.0,1.0,0.9949608937415588
2024-12-10,106,0.4954,0.5046,0.0,True,,conf<0.65,0,-0.0187793427230046,0.0,1.0,0.9762761821219991
2024-12-11,119,0.6022,0.6022,1.0,True,,conf<0.65,1,0.0143540669856459,0.0,1.0,0.9902897158366689
2024-12-13,99,0.5738,0.5738,1.0,True,,conf<0.65,1,0.0187793427230046,0.0,1.0,1.0088867058054325
2024-12-16,154,0.6229,0.6229,1.0,True,,conf<0.65,0,-0.0092165898617511,0.0,1.0,0.9995882108210506
2024-12-17,144,0.6085,0.6085,1.0,True,,conf<0.65,1,0.0093023255813953,0.0,1.0,1.0088867058054325
2024-12-18,141,0.6014,0.6014,1.0,True,,conf<0.65,0,-0.0138248847926267,0.0,1.0,0.9949389633288598
2024-12-19,104,0.4153,0.5847,0.0,True,,conf<0.65,0,-0.0327102803738317,0.0,1.0,0.9623942308835233
2024-12-20,115,0.626,0.626,1.0,True,,conf<0.65,1,0.0434782608695652,0.0,1.0,1.0042374583132416
2024-12-30,95,0.595,0.595,1.0,True,,conf<0.65,0,-0.0137614678899082,0.0,1.0,0.9904176767768209
2024-12-31,161,0.5816,0.5816,1.0,True,,conf<0.65,0,-0.0093023255813953,0.0,1.0,0.9812044890858738
2025-01-02,120,0.6256,0.6256,1.0,True,,conf<0.65,1,0.0093896713615023,0.0,1.0,0.9904176767768208
2025-01-03,103,0.5691,0.5691,1.0,True,,conf<0.65,1,0.0465116279069767,0.0,1.0,1.0364836152315564
2025-01-07,135,0.512,0.512,1.0,True,,conf<0.65,0,-0.0221238938053097,0.0,1.0,1.01355256179723
2025-01-10,127,0.4951,0.5049,0.0,True,,conf<0.65,0,-0.0227272727272727,0.0,1.0,0.9905172763018385
2025-01-13,121,0.4942,0.5058,0.0,True,,conf<0.65,1,0.013953488372093,0.0,1.0,1.0043384475990735
2025-01-14,125,0.6131,0.6131,1.0,True,,conf<0.65,0,-0.0229357798165137,0.0,1.0,0.981303162103682
2025-01-15,135,0.5942,0.5942,1.0,True,,conf<0.65,1,0.0375586854460093,0.0,1.0,1.0181596188963085
2025-01-16,226,0.5743,0.5743,1.0,True,,conf<0.65,1,0.0135746606334841,0.0,1.0,1.0319807901935434
2025-01-21,142,0.4381,0.5619,0.0,True,,conf<0.65,1,0.0133928571428571,0.0,1.0,1.0458019614907783
2025-01-22,151,0.4839,0.5161,0.0,True,,conf<0.65,0,-0.0572687224669603,0.0,1.0,0.9859102192027601
2025-02-03,254,0.4403,0.5597,0.0,True,,conf<0.65,1,0.0233644859813084,0.0,1.0,1.0089455046981517
2025-02-04,160,0.6263,0.6263,1.0,True,,conf<0.65,1,0.0136986301369863,0.0,1.0,1.0227666759953866
2025-02-06,94,0.5881,0.5881,1.0,True,,conf<0.65,1,0.0089686098654708,0.0,1.0,1.0319394712957937
2025-02-07,91,0.5041,0.5041,1.0,True,,conf<0.65,0,-0.0177777777777777,0.0,1.0,1.0135938806949796
2025-02-11,104,0.5742,0.5742,1.0,True,,conf<0.65,0,-0.009009009009009,0.0,1.0,1.004462404292322
2025-02-12,163,0.6135,0.6135,1.0,True,,conf<0.65,0,-0.009090909090909,0.0,1.0,0.9953309278896646
2025-02-13,224,0.4221,0.5779,0.0,True,,conf<0.65,0,-0.0275229357798165,0.0,1.0,0.9679364986816922
