date,n_articles,mean_prob_up,confidence,up_vote_ratio,is_extreme_consensus,signal,skip_reason,true_label,return_rate,port_ret,cum_port,cum_bnh
2024-11-07,117,0.5926,0.5926,0.9829,True,1,extreme_consensus(98%),1,0.0234741784037558,0.0234741784037558,1.0234741784037558,1.0234741784037558
2024-11-11,167,0.5695,0.5695,0.9341,True,1,extreme_consensus(93%),0,-0.032258064516129,-0.032258064516129,0.9904588823262153,0.9904588823262153
2024-11-12,182,0.5613,0.5613,0.9341,True,1,extreme_consensus(93%),0,-0.0142857142857142,-0.0142857142857142,0.9763094697215551,0.9763094697215551
2024-11-15,153,0.591,0.591,1.0,True,1,extreme_consensus(100%),0,-0.0096618357487922,-0.0096618357487922,0.966876527985115,0.966876527985115
2024-11-18,105,0.542,0.542,0.9429,True,1,extreme_consensus(94%),1,0.0146341463414634,0.0146341463414634,0.9810259405897752,0.9810259405897752
2024-11-19,118,0.585,0.585,0.9915,True,1,extreme_consensus(99%),0,-0.0144230769230769,-0.0144230769230769,0.966876527985115,0.966876527985115
2024-11-20,120,0.6026,0.6026,0.9917,True,1,extreme_consensus(99%),0,-0.0146341463414634,-0.0146341463414634,0.9527271153804548,0.9527271153804548
2024-11-21,112,0.6035,0.6035,0.9821,True,1,extreme_consensus(98%),1,0.0297029702970297,0.0297029702970297,0.9810259405897753,0.9810259405897753
2024-11-22,120,0.6031,0.6031,1.0,True,1,extreme_consensus(100%),0,-0.0096153846153846,-0.0096153846153846,0.9715929988533352,0.9715929988533352
2024-11-25,82,0.6089,0.6089,1.0,True,1,extreme_consensus(100%),0,-0.0194174757281553,-0.0194174757281553,0.9527271153804548,0.9527271153804548
2024-11-26,148,0.6052,0.6052,1.0,True,1,extreme_consensus(100%),0,-0.0099009900990099,-0.0099009900990099,0.9432941736440147,0.9432941736440147
2024-11-28,161,0.5585,0.5585,0.9317,True,1,extreme_consensus(93%),0,-0.008955223880597,-0.008955223880597,0.9348467631337698,0.9348467631337698
2024-11-29,120,0.5208,0.5208,0.75,False,1,,1,0.0391566265060241,0.0391566265060241,0.9714522086781644,0.9714522086781644
2024-12-02,116,0.6142,0.6142,1.0,True,1,extreme_consensus(100%),1,0.0193236714975845,0.0193236714975845,0.990224232034264,0.990224232034264
2024-12-03,118,0.5987,0.5987,1.0,True,1,extreme_consensus(100%),1,0.0142180094786729,0.0142180094786729,1.0043032495513387,1.0043032495513387
2024-12-05,115,0.4718,0.5282,0.1217,True,0,extreme_consensus(12%),0,-0.0093023255813953,0.0093023255813953,1.0136456053611185,0.9949608937415588
2024-12-06,116,0.4586,0.5414,0.1379,True,0,extreme_consensus(14%),1,0.0093896713615023,-0.0093896713615023,1.0041278062497465,1.0043032495513387
2024-12-09,104,0.4872,0.5128,0.2885,False,0,,0,-0.0093023255813953,0.0093023255813953,1.013468530028814,0.9949608937415588
2024-12-10,106,0.5557,0.5557,0.9906,True,1,extreme_consensus(99%),0,-0.0187793427230046,-0.0187793427230046,0.9944362571644232,0.9762761821219991
2024-12-11,119,0.6089,0.6089,1.0,True,1,extreme_consensus(100%),1,0.0143540669856459,0.0143540669856459,1.0087104618127163,0.9902897158366689
2024-12-13,99,0.5773,0.5773,0.9798,True,1,extreme_consensus(98%),1,0.0187793427230046,0.0187793427230046,1.0276533812833775,1.0088867058054325
2024-12-16,154,0.6004,0.6004,0.9935,True,1,extreme_consensus(99%),0,-0.0092165898617511,-0.0092165898617511,1.0181819215480468,0.9995882108210506
2024-12-17,144,0.6035,0.6035,1.0,True,1,extreme_consensus(100%),1,0.0093023255813953,0.0093023255813953,1.0276533812833775,1.0088867058054325
2024-12-18,141,0.6118,0.6118,1.0,True,1,extreme_consensus(100%),0,-0.0138248847926267,-0.0138248847926267,1.0134461916803814,0.9949389633288598
2024-12-19,104,0.5298,0.5298,0.7981,False,1,,0,-0.0327102803738317,-0.0327102803738317,0.9802960826067242,0.9623942308835233
2024-12-20,115,0.6103,0.6103,1.0,True,1,extreme_consensus(100%),1,0.0434782608695652,0.0434782608695652,1.0229176514157121,1.0042374583132416
2024-12-30,95,0.571,0.571,0.9789,True,1,extreme_consensus(98%),0,-0.0137614678899082,-0.0137614678899082,1.0088408030017344,0.9904176767768209
2024-12-31,161,0.5618,0.5618,1.0,True,1,extreme_consensus(100%),0,-0.0093023255813953,-0.0093023255813953,0.999456237392416,0.9812044890858738
2025-01-02,120,0.5908,0.5908,0.9917,True,1,extreme_consensus(99%),1,0.0093896713615023,0.0093896713615023,1.0088408030017344,0.9904176767768208
2025-01-03,103,0.5572,0.5572,0.9612,True,1,extreme_consensus(96%),1,0.0465116279069767,0.0465116279069767,1.0557636310483265,1.0364836152315564
