date,n_articles,mean_prob_up,confidence,up_vote_ratio,is_extreme_consensus,signal,skip_reason,true_label,return_rate,port_ret,cum_port,cum_bnh
2024-11-07,117,0.8211,0.8211,1.0,True,1.0,extreme_consensus(100%),1,0.0234741784037558,0.0234741784037558,1.0234741784037558,1.0234741784037558
2024-11-11,167,0.5819,0.5819,0.7904,False,,conf<0.6,0,-0.032258064516129,0.032258064516129,1.0564894744812963,0.9904588823262153
2024-11-12,182,0.6847,0.6847,0.967,True,1.0,extreme_consensus(97%),0,-0.0142857142857142,-0.0142857142857142,1.041396767702992,0.9763094697215551
2024-11-15,153,0.6948,0.6948,1.0,True,1.0,extreme_consensus(100%),0,-0.0096618357487922,-0.0096618357487922,1.0313349631841227,0.966876527985115
2024-11-18,105,0.5991,0.5991,0.8857,True,,conf<0.6,1,0.0146341463414634,-0.0146341463414634,1.0162422564058184,0.9810259405897752
2024-11-19,118,0.6077,0.6077,0.9322,True,1.0,extreme_consensus(93%),0,-0.0144230769230769,-0.0144230769230769,1.001584916169196,0.966876527985115
2024-11-20,120,0.6508,0.6508,0.9833,True,1.0,extreme_consensus(98%),0,-0.0146341463414634,-0.0146341463414634,0.9869275759325737,0.9527271153804548
2024-11-21,112,0.6562,0.6562,0.9911,True,1.0,extreme_consensus(99%),1,0.0297029702970297,0.0297029702970297,1.0162422564058184,0.9810259405897753
2024-11-22,120,0.6513,0.6513,0.9833,True,1.0,extreme_consensus(98%),0,-0.0096153846153846,-0.0096153846153846,1.0064706962480703,0.9715929988533352
2024-11-25,82,0.6844,0.6844,1.0,True,1.0,extreme_consensus(100%),0,-0.0194174757281553,-0.0194174757281553,0.9869275759325737,0.9527271153804548
2024-11-26,148,0.6751,0.6751,0.9865,True,1.0,extreme_consensus(99%),0,-0.0099009900990099,-0.0099009900990099,0.9771560157748255,0.9432941736440147
2024-11-28,161,0.63,0.63,0.9876,True,1.0,extreme_consensus(99%),0,-0.008955223880597,-0.008955223880597,0.9684053648872898,0.9348467631337698
2024-11-29,120,0.5684,0.5684,0.6167,False,,conf<0.6,1,0.0391566265060241,-0.0391566265060241,0.9304858777079682,0.9714522086781644
2024-12-02,116,0.7049,0.7049,1.0,True,1.0,extreme_consensus(100%),1,0.0193236714975845,0.0193236714975845,0.9484662811419384,0.990224232034264
2024-12-03,118,0.6509,0.6509,0.9915,True,1.0,extreme_consensus(99%),1,0.0142180094786729,0.0142180094786729,0.9619515837174161,1.0043032495513387
