date,n_articles,mean_prob_up,confidence,up_vote_ratio,is_extreme_consensus,signal,skip_reason,true_label,return_rate,port_ret,cum_port,cum_bnh
2024-11-07,117,0.8211,0.8211,1.0,True,1,extreme_consensus(100%),1,0.0234741784037558,0.0234741784037558,1.0234741784037558,1.0234741784037558
2024-11-11,167,0.5819,0.5819,0.7904,False,1,,0,-0.032258064516129,-0.032258064516129,0.9904588823262153,0.9904588823262153
2024-11-12,182,0.6847,0.6847,0.967,True,1,extreme_consensus(97%),0,-0.0142857142857142,-0.0142857142857142,0.9763094697215551,0.9763094697215551
2024-11-15,153,0.6948,0.6948,1.0,True,1,extreme_consensus(100%),0,-0.0096618357487922,-0.0096618357487922,0.966876527985115,0.966876527985115
2024-11-18,105,0.5991,0.5991,0.8857,True,1,extreme_consensus(89%),1,0.0146341463414634,0.0146341463414634,0.9810259405897752,0.9810259405897752
2024-11-19,118,0.6077,0.6077,0.9322,True,1,extreme_consensus(93%),0,-0.0144230769230769,-0.0144230769230769,0.966876527985115,0.966876527985115
2024-11-20,120,0.6508,0.6508,0.9833,True,1,extreme_consensus(98%),0,-0.0146341463414634,-0.0146341463414634,0.9527271153804548,0.9527271153804548
2024-11-21,112,0.6562,0.6562,0.9911,True,1,extreme_consensus(99%),1,0.0297029702970297,0.0297029702970297,0.9810259405897753,0.9810259405897753
2024-11-22,120,0.6513,0.6513,0.9833,True,1,extreme_consensus(98%),0,-0.0096153846153846,-0.0096153846153846,0.9715929988533352,0.9715929988533352
2024-11-25,82,0.6844,0.6844,1.0,True,1,extreme_consensus(100%),0,-0.0194174757281553,-0.0194174757281553,0.9527271153804548,0.9527271153804548
2024-11-26,148,0.6751,0.6751,0.9865,True,1,extreme_consensus(99%),0,-0.0099009900990099,-0.0099009900990099,0.9432941736440147,0.9432941736440147
2024-11-28,161,0.63,0.63,0.9876,True,1,extreme_consensus(99%),0,-0.008955223880597,-0.008955223880597,0.9348467631337698,0.9348467631337698
2024-11-29,120,0.5684,0.5684,0.6167,False,1,,1,0.0391566265060241,0.0391566265060241,0.9714522086781644,0.9714522086781644
2024-12-02,116,0.7049,0.7049,1.0,True,1,extreme_consensus(100%),1,0.0193236714975845,0.0193236714975845,0.990224232034264,0.990224232034264
2024-12-03,118,0.6509,0.6509,0.9915,True,1,extreme_consensus(99%),1,0.0142180094786729,0.0142180094786729,1.0043032495513387,1.0043032495513387
