date,label,return_rate,prob_up,confidence,pred,signal,port_ret,cum_port,cum_bnh
2024-11-05,1,0.0095238095238095,0.6409666943954533,0.6409666943954533,1,1.0,0.0075238095238095,1.0075238095238095,1.0095238095238095
2024-11-07,1,0.0234741784037558,0.3088810140325814,0.6911189859674186,0,0.0,-0.0254741784037558,0.9818579682539683,1.0332215515314105
2024-11-11,0,-0.032258064516129,0.574522990741993,0.574522990741993,1,,0.0,0.9818579682539683,0.9998918240626553
2024-11-12,0,-0.0142857142857142,0.6668580285676045,0.6668580285676045,1,1.0,-0.016285714285714202,0.9658677099138323,0.9856076551474746
2024-11-15,0,-0.0096618357487922,0.571397855853794,0.571397855853794,1,,0.0,0.9658677099138323,0.9760848758706875
2024-11-18,1,0.0146341463414634,0.7440565756480477,0.7440565756480477,1,1.0,0.0126341463414634,0.9780706239073778,0.9903690447858683
2024-11-19,0,-0.0144230769230769,0.701330000355543,0.701330000355543,1,1.0,-0.0164230769230769,0.9620076948147451,0.9760848758706876
2024-11-20,0,-0.0146341463414634,0.7612208335228545,0.7612208335228545,1,1.0,-0.0166341463414634,0.9460055180375828,0.9618007069555068
2024-11-21,1,0.0297029702970297,0.6856678989642265,0.6856678989642265,1,1.0,0.0277029702970297,0.9722126808046042,0.9903690447858684
2024-11-22,0,-0.0096153846153846,0.6003018331785256,0.6003018331785256,1,1.0,-0.0116153846153846,0.9609200565891046,0.9808462655090813
2024-11-25,0,-0.0194174757281553,0.7386797908473168,0.7386797908473168,1,1.0,-0.021417475728155298,0.9403395746004098,0.9618007069555069
2024-11-26,0,-0.0099009900990099,0.6331769281067507,0.6331769281067507,1,1.0,-0.0119009900990099,0.9291486026333832,0.9522779276787197
2024-11-28,0,-0.008955223880597,0.518986834294676,0.518986834294676,1,,0.0,0.9291486026333832,0.9437500656398058
2024-11-29,1,0.0391566265060241,0.47169596721867113,0.5283040327813289,0,,0.0,0.9291486026333832,0.9807041344750994
2024-12-02,1,0.0193236714975845,0.5105912534161997,0.5105912534161997,1,,0.0,0.9291486026333832,0.9996549390060191
2024-12-03,1,0.0142180094786729,0.5041691854286242,0.5041691854286242,1,,0.0,0.9291486026333832,1.0138680424042088
2024-12-05,0,-0.0093023255813953,0.5386227867363159,0.5386227867363159,1,,0.0,0.9291486026333832,1.0044367117771928
2024-12-06,1,0.0093896713615023,0.6603470271588879,0.6603470271588879,1,1.0,0.007389671361502301,0.9360147054528429,1.0138680424042086
2024-12-09,0,-0.0093023255813953,0.5827489369626139,0.5827489369626139,1,,0.0,0.9360147054528429,1.0044367117771926
2024-12-10,0,-0.0187793427230046,0.7874582414918659,0.7874582414918659,1,1.0,-0.0207793427230046,0.9165649350944661,0.9855740505231609
2024-12-11,1,0.0143540669856459,0.8063313338635026,0.8063313338635026,1,1.0,0.0123540669856459,0.9278882396993173,0.9997210464636848
2024-12-13,1,0.0187793427230046,0.7673107223868277,0.7673107223868277,1,1.0,0.016779342723004603,0.9434575944818775,1.018495150622627
2024-12-16,0,-0.0092165898617511,0.5939054340559888,0.5939054340559888,1,,0.0,0.9434575944818775,1.0091080985431558
2024-12-17,1,0.0093023255813953,0.6271562046504069,0.6271562046504069,1,1.0,0.0073023255813953,0.9503470290090242,1.018495150622627
2024-12-18,0,-0.0138248847926267,0.57778449861696,0.57778449861696,1,,0.0,0.9503470290090242,1.0044145725034201
2024-12-19,0,-0.0327102803738317,0.7039976365366908,0.7039976365366908,1,1.0,-0.034710280373831705,0.917360217179683,0.9715598902252709
2024-12-20,1,0.0434782608695652,0.7352155469504227,0.7352155469504227,1,1.0,0.0414782608695652,0.9554107235792229,1.0138016245828914
2024-12-30,0,-0.0137614678899082,0.6052580649642196,0.6052580649642196,1,1.0,-0.0157614678899082,0.940352048137855,0.9998502260794572
2024-12-31,0,-0.0093023255813953,0.7651493374627566,0.7651493374627566,1,1.0,-0.0113023255813953,0.929723883128669,0.9905492937438344
2025-01-02,1,0.0093896713615023,0.6923211770485118,0.6923211770485118,1,1.0,0.007389671361502301,0.9365942370819297,0.9998502260794572
