date,label,return_rate,prob_up,confidence,pred,signal,port_ret,cum_port,cum_bnh
2024-11-05,1,0.0095238095238095,0.5074952459540873,0.5074952459540873,1,1.0,0.0075238095238095,1.0075238095238095,1.0095238095238095
2024-11-07,1,0.0234741784037558,0.44795822490971093,0.5520417750902891,0,0.0,-0.0254741784037558,0.9818579682539683,1.0332215515314105
2024-11-11,0,-0.032258064516129,0.4940807985468704,0.5059192014531295,0,0.0,0.030258064516128995,1.0115670900030722,0.9998918240626553
2024-11-12,0,-0.0142857142857142,0.499428538688869,0.500571461311131,0,0.0,0.0122857142857142,1.0239949142516813,0.9856076551474746
2024-11-15,0,-0.0096618357487922,0.4950121680692838,0.5049878319307162,0,0.0,0.007661835748792201,1.0318405950922762,0.9760848758706875
2024-11-18,1,0.0146341463414634,0.5099110737512107,0.5099110737512107,1,1.0,0.0126341463414634,1.0448770201717348,0.9903690447858683
2024-11-19,0,-0.0144230769230769,0.4997691475098779,0.5002308524901221,0,0.0,0.0124230769230769,1.0578576077684836,0.9760848758706876
2024-11-20,0,-0.0146341463414634,0.5058935339473886,0.5058935339473886,1,1.0,-0.0166341463414634,1.0402610495124323,0.9618007069555068
2024-11-21,1,0.0297029702970297,0.5076035658415445,0.5076035658415445,1,1.0,0.0277029702970297,1.0690793704682322,0.9903690447858684
2024-11-22,0,-0.0096153846153846,0.5048048239417444,0.5048048239417444,1,1.0,-0.0116153846153846,1.0566616023958704,0.9808462655090813
2024-11-25,0,-0.0194174757281553,0.5149954883245587,0.5149954883245587,1,1.0,-0.021417475728155298,1.0340305781736832,0.9618007069555069
2024-11-26,0,-0.0099009900990099,0.4969821541456137,0.5030178458543864,0,0.0,0.0079009900990099,1.042200443533907,0.9522779276787197
2024-11-28,0,-0.008955223880597,0.4726317861906824,0.5273682138093176,0,0.0,0.006955223880597,1.0494491809471427,0.9437500656398058
2024-11-29,1,0.0391566265060241,0.48291046294685985,0.5170895370531401,0,0.0,-0.0411566265060241,1.0062573929698482,0.9807041344750994
2024-12-02,1,0.0193236714975845,0.4987821519203,0.5012178480797,0,0.0,-0.021323671497584497,0.9848002908801433,0.9996549390060191
