date,n_articles,mean_prob_up,confidence,up_vote_ratio,is_extreme_consensus,signal,skip_reason,true_label,return_rate,port_ret,cum_port,cum_bnh
2024-09-30,72,0.5043,0.5043,0.5139,False,,conf<0.6,1,0.0156739811912225,-0.0156739811912225,0.9843260188087775,1.0156739811912225
2024-10-04,124,0.7001,0.7001,0.6935,False,1.0,,1,0.0286591606960081,0.0286591606960081,1.01253597635908,1.044782345032936
2024-10-09,143,0.716,0.716,0.7063,False,1.0,,1,0.0245098039215686,0.0245098039215686,1.037353034603175,1.07038975545041
2024-10-14,128,0.7408,0.7408,0.7422,False,1.0,,1,0.0239234449760765,0.0239234449760765,1.0621700928472702,1.095997165867884
2024-10-15,134,0.7364,0.7364,0.7388,False,1.0,,0,-0.0233644859813084,-0.0233644859813084,1.0373530346031752,1.07038975545041
2024-10-17,299,0.4566,0.5434,0.4615,False,,conf<0.6,1,0.0483091787439613,-0.0483091787439613,0.9872393614339396,1.122099405472169
2024-11-07,273,0.4118,0.5882,0.4176,False,,conf<0.6,1,0.0234741784037558,-0.0234741784037558,0.9640647285364294,1.148439767102971
2024-11-11,167,0.6358,0.6358,0.6467,False,1.0,,0,-0.032258064516129,-0.032258064516129,0.9329658663255769,1.1113933230028752
2024-11-21,112,0.7223,0.7223,0.7411,False,1.0,,1,0.0297029702970297,0.0297029702970297,0.9606777237411881,1.1444050058643467
2024-11-25,82,0.8586,0.8586,0.8537,True,1.0,extreme_consensus(85%),0,-0.0194174757281553,-0.0194174757281553,0.9420237873578641,1.1221835494397963
2024-11-29,120,0.6132,0.6132,0.6167,False,1.0,,1,0.0391566265060241,0.0391566265060241,0.9789102609592263,1.1661244715564147
2024-12-02,116,0.7237,0.7237,0.7328,False,1.0,,1,0.0193236714975845,0.0193236714975845,0.997826401267617,1.1886582777700652
2024-12-10,106,0.7289,0.7289,0.7358,False,1.0,,0,-0.0187793427230046,-0.0187793427230046,0.9790878773001501,1.1663360565912846
2024-12-13,99,0.6804,0.6804,0.6869,False,1.0,,1,0.0187793427230046,0.0187793427230046,0.9974745041039086,1.18823908112821
2024-12-19,104,0.7349,0.7349,0.7404,False,1.0,,0,-0.0327102803738317,-0.0327102803738317,0.964846833408921,1.149371447633362
