date,n_articles,mean_prob_up,confidence,up_vote_ratio,is_extreme_consensus,signal,skip_reason,true_label,return_rate,port_ret,cum_port,cum_bnh
2024-09-30,72,0.5043,0.5043,0.5139,False,,conf<0.65,1,0.0156739811912225,-0.0156739811912225,0.9843260188087775,1.0156739811912225
2024-10-04,124,0.7001,0.7001,0.6935,False,1.0,,1,0.0286591606960081,0.0286591606960081,1.01253597635908,1.044782345032936
2024-10-09,143,0.716,0.716,0.7063,False,1.0,,1,0.0245098039215686,0.0245098039215686,1.037353034603175,1.07038975545041
2024-10-14,128,0.7408,0.7408,0.7422,False,1.0,,1,0.0239234449760765,0.0239234449760765,1.0621700928472702,1.095997165867884
2024-10-15,134,0.7364,0.7364,0.7388,False,1.0,,0,-0.0233644859813084,-0.0233644859813084,1.0373530346031752,1.07038975545041
2024-10-17,299,0.4566,0.5434,0.4615,False,,conf<0.65,1,0.0483091787439613,-0.0483091787439613,0.9872393614339396,1.122099405472169
2024-11-07,273,0.4118,0.5882,0.4176,False,,conf<0.65,1,0.0234741784037558,-0.0234741784037558,0.9640647285364294,1.148439767102971
2024-11-11,167,0.6358,0.6358,0.6467,False,,conf<0.65,0,-0.032258064516129,0.032258064516129,0.995163590747282,1.1113933230028752
2024-11-21,112,0.7223,0.7223,0.7411,False,1.0,,1,0.0297029702970297,0.0297029702970297,1.024722905323934,1.1444050058643467
2024-11-25,82,0.8586,0.8586,0.8537,True,1.0,extreme_consensus(85%),0,-0.0194174757281553,-0.0194174757281553,1.0048253731817216,1.1221835494397963
2024-11-29,120,0.6132,0.6132,0.6167,False,,conf<0.65,1,0.0391566265060241,-0.0391566265060241,0.9654798013402686,1.1661244715564147
2024-12-02,116,0.7237,0.7237,0.7328,False,1.0,,1,0.0193236714975845,0.0193236714975845,0.984136415858921,1.1886582777700652
2024-12-10,106,0.7289,0.7289,0.7358,False,1.0,,0,-0.0187793427230046,-0.0187793427230046,0.9656549808193169,1.1663360565912846
2024-12-13,99,0.6804,0.6804,0.6869,False,1.0,,1,0.0187793427230046,0.0187793427230046,0.9837893466562992,1.18823908112821
2024-12-19,104,0.7349,0.7349,0.7404,False,1.0,,0,-0.0327102803738317,-0.0327102803738317,0.9516093212983829,1.149371447633362
2024-12-20,115,0.7225,0.7225,0.7304,False,1.0,,1,0.0434782608695652,0.0434782608695652,0.9929836396157039,1.1993441192695953
2025-01-03,103,0.737,0.737,0.7476,False,1.0,,1,0.0465116279069767,0.0465116279069767,1.0391689251792249,1.2551275666774833
2025-01-07,135,0.7469,0.7469,0.7481,False,1.0,,0,-0.0221238938053097,-0.0221238938053097,1.0161784622327819,1.227359257680194
2025-01-10,127,0.5911,0.5911,0.5827,False,,conf<0.65,0,-0.0227272727272727,0.0227272727272727,1.039273427283527,1.1994647290965532
2025-01-14,125,0.7371,0.7371,0.736,False,1.0,,0,-0.0229357798165137,-0.0229357798165137,1.0154368807861984,1.1719540701723203
2025-01-15,135,0.6461,0.6461,0.6296,False,,conf<0.65,1,0.0375586854460093,-0.0375586854460093,0.9772984063904728,1.215971124451093
2025-01-22,151,0.594,0.594,0.5894,False,,conf<0.65,0,-0.0572687224669603,0.0572687224669603,1.0332670375934514,1.1463340115970655
2025-02-03,254,0.4862,0.5138,0.4843,False,,conf<0.65,1,0.0233644859813084,-0.0233644859813084,1.0091252843786511,1.1731175165409222
2025-02-07,91,0.6958,0.6958,0.7033,False,1.0,,0,-0.0177777777777777,-0.0177777777777777,0.9911852793230308,1.1522620940246393
2025-02-13,224,0.3487,0.6513,0.3393,False,0.0,,0,-0.0275229357798165,0.0275229357798165,1.018465608111738,1.1205484584092824
2025-02-14,323,0.3361,0.6639,0.3406,False,0.0,,1,0.0235849056603773,-0.0235849056603773,0.9944451928260839,1.1469764880887467
2025-02-21,120,0.674,0.674,0.675,False,1.0,,0,-0.0182648401826484,-0.0182648401826484,0.9762818103087125,1.1260271458405504
2025-02-24,114,0.7428,0.7428,0.7456,False,1.0,,0,-0.0186046511627906,-0.0186046511627906,0.9581184277913412,1.105077803592354
2025-02-26,118,0.6233,0.6233,0.6271,False,,conf<0.65,0,-0.0188679245283018,0.0188679245283018,0.9761961339760834,1.0842272789962721
